"date", "dow", "shift", "time_start", "time_end", "duration"
2024-07-01, "Monday", "short", 2024-07-01 16:30:00, 2024-07-01 20:00:00, 12600s (~3.5 hours)
2024-07-01, "Monday", "night", 2024-07-01 20:00:00, 2024-07-02 08:00:00, 43200s (~12 hours)
2024-07-02, "Tuesday", "short", 2024-07-02 16:30:00, 2024-07-02 20:00:00, 12600s (~3.5 hours)
2024-07-02, "Tuesday", "night", 2024-07-02 20:00:00, 2024-07-03 08:00:00, 43200s (~12 hours)
2024-07-03, "Wednesday", "short", 2024-07-03 16:30:00, 2024-07-03 20:00:00, 12600s (~3.5 hours)
2024-07-03, "Wednesday", "night", 2024-07-03 20:00:00, 2024-07-04 08:00:00, 43200s (~12 hours)
2024-07-04, "Thursday", "holiday", 2024-07-04 08:00:00, 2024-07-05 08:00:00, 86400s (~1 days)
2024-07-05, "Friday", "short", 2024-07-05 16:30:00, 2024-07-05 20:00:00, 12600s (~3.5 hours)
2024-07-05, "Friday", "night", 2024-07-05 20:00:00, 2024-07-06 08:00:00, 43200s (~12 hours)
2024-07-06, "Saturday", "day", 2024-07-06 08:00:00, 2024-07-06 20:00:00, 43200s (~12 hours)
2024-07-06, "Saturday", "night", 2024-07-06 20:00:00, 2024-07-07 08:00:00, 43200s (~12 hours)
2024-07-07, "Sunday", "day", 2024-07-07 08:00:00, 2024-07-07 20:00:00, 43200s (~12 hours)
2024-07-07, "Sunday", "night", 2024-07-07 20:00:00, 2024-07-08 08:00:00, 43200s (~12 hours)
2024-07-08, "Monday", "short", 2024-07-08 16:30:00, 2024-07-08 20:00:00, 12600s (~3.5 hours)
2024-07-08, "Monday", "night", 2024-07-08 20:00:00, 2024-07-09 08:00:00, 43200s (~12 hours)
2024-07-09, "Tuesday", "short", 2024-07-09 16:30:00, 2024-07-09 20:00:00, 12600s (~3.5 hours)
2024-07-09, "Tuesday", "night", 2024-07-09 20:00:00, 2024-07-10 08:00:00, 43200s (~12 hours)
2024-07-10, "Wednesday", "short", 2024-07-10 16:30:00, 2024-07-10 20:00:00, 12600s (~3.5 hours)
2024-07-10, "Wednesday", "night", 2024-07-10 20:00:00, 2024-07-11 08:00:00, 43200s (~12 hours)
2024-07-11, "Thursday", "short", 2024-07-11 16:30:00, 2024-07-11 20:00:00, 12600s (~3.5 hours)
2024-07-11, "Thursday", "night", 2024-07-11 20:00:00, 2024-07-12 08:00:00, 43200s (~12 hours)
2024-07-12, "Friday", "short", 2024-07-12 16:30:00, 2024-07-12 20:00:00, 12600s (~3.5 hours)
2024-07-12, "Friday", "night", 2024-07-12 20:00:00, 2024-07-13 08:00:00, 43200s (~12 hours)
2024-07-13, "Saturday", "day", 2024-07-13 08:00:00, 2024-07-13 20:00:00, 43200s (~12 hours)
2024-07-13, "Saturday", "night", 2024-07-13 20:00:00, 2024-07-14 08:00:00, 43200s (~12 hours)
2024-07-14, "Sunday", "day", 2024-07-14 08:00:00, 2024-07-14 20:00:00, 43200s (~12 hours)
2024-07-14, "Sunday", "night", 2024-07-14 20:00:00, 2024-07-15 08:00:00, 43200s (~12 hours)
2024-07-15, "Monday", "short", 2024-07-15 16:30:00, 2024-07-15 20:00:00, 12600s (~3.5 hours)
2024-07-15, "Monday", "night", 2024-07-15 20:00:00, 2024-07-16 08:00:00, 43200s (~12 hours)
2024-07-16, "Tuesday", "short", 2024-07-16 16:30:00, 2024-07-16 20:00:00, 12600s (~3.5 hours)
2024-07-16, "Tuesday", "night", 2024-07-16 20:00:00, 2024-07-17 08:00:00, 43200s (~12 hours)
2024-07-17, "Wednesday", "short", 2024-07-17 16:30:00, 2024-07-17 20:00:00, 12600s (~3.5 hours)
2024-07-17, "Wednesday", "night", 2024-07-17 20:00:00, 2024-07-18 08:00:00, 43200s (~12 hours)
2024-07-18, "Thursday", "short", 2024-07-18 16:30:00, 2024-07-18 20:00:00, 12600s (~3.5 hours)
2024-07-18, "Thursday", "night", 2024-07-18 20:00:00, 2024-07-19 08:00:00, 43200s (~12 hours)
2024-07-19, "Friday", "short", 2024-07-19 16:30:00, 2024-07-19 20:00:00, 12600s (~3.5 hours)
2024-07-19, "Friday", "night", 2024-07-19 20:00:00, 2024-07-20 08:00:00, 43200s (~12 hours)
2024-07-20, "Saturday", "day", 2024-07-20 08:00:00, 2024-07-20 20:00:00, 43200s (~12 hours)
2024-07-20, "Saturday", "night", 2024-07-20 20:00:00, 2024-07-21 08:00:00, 43200s (~12 hours)
2024-07-21, "Sunday", "day", 2024-07-21 08:00:00, 2024-07-21 20:00:00, 43200s (~12 hours)
2024-07-21, "Sunday", "night", 2024-07-21 20:00:00, 2024-07-22 08:00:00, 43200s (~12 hours)
2024-07-22, "Monday", "short", 2024-07-22 16:30:00, 2024-07-22 20:00:00, 12600s (~3.5 hours)
2024-07-22, "Monday", "night", 2024-07-22 20:00:00, 2024-07-23 08:00:00, 43200s (~12 hours)
2024-07-23, "Tuesday", "short", 2024-07-23 16:30:00, 2024-07-23 20:00:00, 12600s (~3.5 hours)
2024-07-23, "Tuesday", "night", 2024-07-23 20:00:00, 2024-07-24 08:00:00, 43200s (~12 hours)
2024-07-24, "Wednesday", "short", 2024-07-24 16:30:00, 2024-07-24 20:00:00, 12600s (~3.5 hours)
2024-07-24, "Wednesday", "night", 2024-07-24 20:00:00, 2024-07-25 08:00:00, 43200s (~12 hours)
2024-07-25, "Thursday", "short", 2024-07-25 16:30:00, 2024-07-25 20:00:00, 12600s (~3.5 hours)
2024-07-25, "Thursday", "night", 2024-07-25 20:00:00, 2024-07-26 08:00:00, 43200s (~12 hours)
2024-07-26, "Friday", "short", 2024-07-26 16:30:00, 2024-07-26 20:00:00, 12600s (~3.5 hours)
2024-07-26, "Friday", "night", 2024-07-26 20:00:00, 2024-07-27 08:00:00, 43200s (~12 hours)
2024-07-27, "Saturday", "day", 2024-07-27 08:00:00, 2024-07-27 20:00:00, 43200s (~12 hours)
2024-07-27, "Saturday", "night", 2024-07-27 20:00:00, 2024-07-28 08:00:00, 43200s (~12 hours)
2024-07-28, "Sunday", "day", 2024-07-28 08:00:00, 2024-07-28 20:00:00, 43200s (~12 hours)
2024-07-28, "Sunday", "night", 2024-07-28 20:00:00, 2024-07-29 08:00:00, 43200s (~12 hours)
2024-07-29, "Monday", "short", 2024-07-29 16:30:00, 2024-07-29 20:00:00, 12600s (~3.5 hours)
2024-07-29, "Monday", "night", 2024-07-29 20:00:00, 2024-07-30 08:00:00, 43200s (~12 hours)
2024-07-30, "Tuesday", "short", 2024-07-30 16:30:00, 2024-07-30 20:00:00, 12600s (~3.5 hours)
2024-07-30, "Tuesday", "night", 2024-07-30 20:00:00, 2024-07-31 08:00:00, 43200s (~12 hours)
2024-07-31, "Wednesday", "short", 2024-07-31 16:30:00, 2024-07-31 20:00:00, 12600s (~3.5 hours)
2024-07-31, "Wednesday", "night", 2024-07-31 20:00:00, 2024-08-01 08:00:00, 43200s (~12 hours)
2024-08-01, "Thursday", "short", 2024-08-01 16:30:00, 2024-08-01 20:00:00, 12600s (~3.5 hours)
2024-08-01, "Thursday", "night", 2024-08-01 20:00:00, 2024-08-02 08:00:00, 43200s (~12 hours)
2024-08-02, "Friday", "short", 2024-08-02 16:30:00, 2024-08-02 20:00:00, 12600s (~3.5 hours)
2024-08-02, "Friday", "night", 2024-08-02 20:00:00, 2024-08-03 08:00:00, 43200s (~12 hours)
2024-08-03, "Saturday", "day", 2024-08-03 08:00:00, 2024-08-03 20:00:00, 43200s (~12 hours)
2024-08-03, "Saturday", "night", 2024-08-03 20:00:00, 2024-08-04 08:00:00, 43200s (~12 hours)
2024-08-04, "Sunday", "day", 2024-08-04 08:00:00, 2024-08-04 20:00:00, 43200s (~12 hours)
2024-08-04, "Sunday", "night", 2024-08-04 20:00:00, 2024-08-05 08:00:00, 43200s (~12 hours)
2024-08-05, "Monday", "short", 2024-08-05 16:30:00, 2024-08-05 20:00:00, 12600s (~3.5 hours)
2024-08-05, "Monday", "night", 2024-08-05 20:00:00, 2024-08-06 08:00:00, 43200s (~12 hours)
2024-08-06, "Tuesday", "short", 2024-08-06 16:30:00, 2024-08-06 20:00:00, 12600s (~3.5 hours)
2024-08-06, "Tuesday", "night", 2024-08-06 20:00:00, 2024-08-07 08:00:00, 43200s (~12 hours)
2024-08-07, "Wednesday", "short", 2024-08-07 16:30:00, 2024-08-07 20:00:00, 12600s (~3.5 hours)
2024-08-07, "Wednesday", "night", 2024-08-07 20:00:00, 2024-08-08 08:00:00, 43200s (~12 hours)
2024-08-08, "Thursday", "short", 2024-08-08 16:30:00, 2024-08-08 20:00:00, 12600s (~3.5 hours)
2024-08-08, "Thursday", "night", 2024-08-08 20:00:00, 2024-08-09 08:00:00, 43200s (~12 hours)
2024-08-09, "Friday", "short", 2024-08-09 16:30:00, 2024-08-09 20:00:00, 12600s (~3.5 hours)
2024-08-09, "Friday", "night", 2024-08-09 20:00:00, 2024-08-10 08:00:00, 43200s (~12 hours)
2024-08-10, "Saturday", "day", 2024-08-10 08:00:00, 2024-08-10 20:00:00, 43200s (~12 hours)
2024-08-10, "Saturday", "night", 2024-08-10 20:00:00, 2024-08-11 08:00:00, 43200s (~12 hours)
2024-08-11, "Sunday", "day", 2024-08-11 08:00:00, 2024-08-11 20:00:00, 43200s (~12 hours)
2024-08-11, "Sunday", "night", 2024-08-11 20:00:00, 2024-08-12 08:00:00, 43200s (~12 hours)
2024-08-12, "Monday", "short", 2024-08-12 16:30:00, 2024-08-12 20:00:00, 12600s (~3.5 hours)
2024-08-12, "Monday", "night", 2024-08-12 20:00:00, 2024-08-13 08:00:00, 43200s (~12 hours)
2024-08-13, "Tuesday", "short", 2024-08-13 16:30:00, 2024-08-13 20:00:00, 12600s (~3.5 hours)
2024-08-13, "Tuesday", "night", 2024-08-13 20:00:00, 2024-08-14 08:00:00, 43200s (~12 hours)
2024-08-14, "Wednesday", "short", 2024-08-14 16:30:00, 2024-08-14 20:00:00, 12600s (~3.5 hours)
2024-08-14, "Wednesday", "night", 2024-08-14 20:00:00, 2024-08-15 08:00:00, 43200s (~12 hours)
2024-08-15, "Thursday", "short", 2024-08-15 16:30:00, 2024-08-15 20:00:00, 12600s (~3.5 hours)
2024-08-15, "Thursday", "night", 2024-08-15 20:00:00, 2024-08-16 08:00:00, 43200s (~12 hours)
2024-08-16, "Friday", "short", 2024-08-16 16:30:00, 2024-08-16 20:00:00, 12600s (~3.5 hours)
2024-08-16, "Friday", "night", 2024-08-16 20:00:00, 2024-08-17 08:00:00, 43200s (~12 hours)
2024-08-17, "Saturday", "day", 2024-08-17 08:00:00, 2024-08-17 20:00:00, 43200s (~12 hours)
2024-08-17, "Saturday", "night", 2024-08-17 20:00:00, 2024-08-18 08:00:00, 43200s (~12 hours)
2024-08-18, "Sunday", "day", 2024-08-18 08:00:00, 2024-08-18 20:00:00, 43200s (~12 hours)
2024-08-18, "Sunday", "night", 2024-08-18 20:00:00, 2024-08-19 08:00:00, 43200s (~12 hours)
2024-08-19, "Monday", "short", 2024-08-19 16:30:00, 2024-08-19 20:00:00, 12600s (~3.5 hours)
2024-08-19, "Monday", "night", 2024-08-19 20:00:00, 2024-08-20 08:00:00, 43200s (~12 hours)
2024-08-20, "Tuesday", "short", 2024-08-20 16:30:00, 2024-08-20 20:00:00, 12600s (~3.5 hours)
2024-08-20, "Tuesday", "night", 2024-08-20 20:00:00, 2024-08-21 08:00:00, 43200s (~12 hours)
2024-08-21, "Wednesday", "short", 2024-08-21 16:30:00, 2024-08-21 20:00:00, 12600s (~3.5 hours)
2024-08-21, "Wednesday", "night", 2024-08-21 20:00:00, 2024-08-22 08:00:00, 43200s (~12 hours)
2024-08-22, "Thursday", "short", 2024-08-22 16:30:00, 2024-08-22 20:00:00, 12600s (~3.5 hours)
2024-08-22, "Thursday", "night", 2024-08-22 20:00:00, 2024-08-23 08:00:00, 43200s (~12 hours)
2024-08-23, "Friday", "short", 2024-08-23 16:30:00, 2024-08-23 20:00:00, 12600s (~3.5 hours)
2024-08-23, "Friday", "night", 2024-08-23 20:00:00, 2024-08-24 08:00:00, 43200s (~12 hours)
2024-08-24, "Saturday", "day", 2024-08-24 08:00:00, 2024-08-24 20:00:00, 43200s (~12 hours)
2024-08-24, "Saturday", "night", 2024-08-24 20:00:00, 2024-08-25 08:00:00, 43200s (~12 hours)
2024-08-25, "Sunday", "day", 2024-08-25 08:00:00, 2024-08-25 20:00:00, 43200s (~12 hours)
2024-08-25, "Sunday", "night", 2024-08-25 20:00:00, 2024-08-26 08:00:00, 43200s (~12 hours)
2024-08-26, "Monday", "short", 2024-08-26 16:30:00, 2024-08-26 20:00:00, 12600s (~3.5 hours)
2024-08-26, "Monday", "night", 2024-08-26 20:00:00, 2024-08-27 08:00:00, 43200s (~12 hours)
2024-08-27, "Tuesday", "short", 2024-08-27 16:30:00, 2024-08-27 20:00:00, 12600s (~3.5 hours)
2024-08-27, "Tuesday", "night", 2024-08-27 20:00:00, 2024-08-28 08:00:00, 43200s (~12 hours)
2024-08-28, "Wednesday", "short", 2024-08-28 16:30:00, 2024-08-28 20:00:00, 12600s (~3.5 hours)
2024-08-28, "Wednesday", "night", 2024-08-28 20:00:00, 2024-08-29 08:00:00, 43200s (~12 hours)
2024-08-29, "Thursday", "short", 2024-08-29 16:30:00, 2024-08-29 20:00:00, 12600s (~3.5 hours)
2024-08-29, "Thursday", "night", 2024-08-29 20:00:00, 2024-08-30 08:00:00, 43200s (~12 hours)
2024-08-30, "Friday", "short", 2024-08-30 16:30:00, 2024-08-30 20:00:00, 12600s (~3.5 hours)
2024-08-30, "Friday", "night", 2024-08-30 20:00:00, 2024-08-31 08:00:00, 43200s (~12 hours)
2024-08-31, "Saturday", "day", 2024-08-31 08:00:00, 2024-08-31 20:00:00, 43200s (~12 hours)
2024-08-31, "Saturday", "night", 2024-08-31 20:00:00, 2024-09-01 08:00:00, 43200s (~12 hours)
2024-09-01, "Sunday", "day", 2024-09-01 08:00:00, 2024-09-01 20:00:00, 43200s (~12 hours)
2024-09-01, "Sunday", "night", 2024-09-01 20:00:00, 2024-09-02 08:00:00, 43200s (~12 hours)
2024-09-02, "Monday", "holiday", 2024-09-02 08:00:00, 2024-09-03 08:00:00, 86400s (~1 days)
2024-09-03, "Tuesday", "short", 2024-09-03 16:30:00, 2024-09-03 20:00:00, 12600s (~3.5 hours)
2024-09-03, "Tuesday", "night", 2024-09-03 20:00:00, 2024-09-04 08:00:00, 43200s (~12 hours)
2024-09-04, "Wednesday", "short", 2024-09-04 16:30:00, 2024-09-04 20:00:00, 12600s (~3.5 hours)
2024-09-04, "Wednesday", "night", 2024-09-04 20:00:00, 2024-09-05 08:00:00, 43200s (~12 hours)
2024-09-05, "Thursday", "short", 2024-09-05 16:30:00, 2024-09-05 20:00:00, 12600s (~3.5 hours)
2024-09-05, "Thursday", "night", 2024-09-05 20:00:00, 2024-09-06 08:00:00, 43200s (~12 hours)
2024-09-06, "Friday", "short", 2024-09-06 16:30:00, 2024-09-06 20:00:00, 12600s (~3.5 hours)
2024-09-06, "Friday", "night", 2024-09-06 20:00:00, 2024-09-07 08:00:00, 43200s (~12 hours)
2024-09-07, "Saturday", "day", 2024-09-07 08:00:00, 2024-09-07 20:00:00, 43200s (~12 hours)
2024-09-07, "Saturday", "night", 2024-09-07 20:00:00, 2024-09-08 08:00:00, 43200s (~12 hours)
2024-09-08, "Sunday", "day", 2024-09-08 08:00:00, 2024-09-08 20:00:00, 43200s (~12 hours)
2024-09-08, "Sunday", "night", 2024-09-08 20:00:00, 2024-09-09 08:00:00, 43200s (~12 hours)
2024-09-09, "Monday", "short", 2024-09-09 16:30:00, 2024-09-09 20:00:00, 12600s (~3.5 hours)
2024-09-10, "Tuesday", "short", 2024-09-10 16:30:00, 2024-09-10 20:00:00, 12600s (~3.5 hours)
2024-09-11, "Wednesday", "short", 2024-09-11 16:30:00, 2024-09-11 20:00:00, 12600s (~3.5 hours)
2024-09-12, "Thursday", "short", 2024-09-12 16:30:00, 2024-09-12 20:00:00, 12600s (~3.5 hours)
2024-09-13, "Friday", "short", 2024-09-13 16:30:00, 2024-09-13 20:00:00, 12600s (~3.5 hours)
2024-09-14, "Saturday", "day", 2024-09-14 08:00:00, 2024-09-14 20:00:00, 43200s (~12 hours)
2024-09-14, "Saturday", "night", 2024-09-14 20:00:00, 2024-09-15 08:00:00, 43200s (~12 hours)
2024-09-15, "Sunday", "day", 2024-09-15 08:00:00, 2024-09-15 20:00:00, 43200s (~12 hours)
2024-09-15, "Sunday", "night", 2024-09-15 20:00:00, 2024-09-16 08:00:00, 43200s (~12 hours)
2024-09-16, "Monday", "short", 2024-09-16 16:30:00, 2024-09-16 20:00:00, 12600s (~3.5 hours)
2024-09-16, "Monday", "night", 2024-09-16 20:00:00, 2024-09-17 08:00:00, 43200s (~12 hours)
2024-09-17, "Tuesday", "short", 2024-09-17 16:30:00, 2024-09-17 20:00:00, 12600s (~3.5 hours)
2024-09-17, "Tuesday", "night", 2024-09-17 20:00:00, 2024-09-18 08:00:00, 43200s (~12 hours)
2024-09-18, "Wednesday", "short", 2024-09-18 16:30:00, 2024-09-18 20:00:00, 12600s (~3.5 hours)
2024-09-18, "Wednesday", "night", 2024-09-18 20:00:00, 2024-09-19 08:00:00, 43200s (~12 hours)
2024-09-19, "Thursday", "short", 2024-09-19 16:30:00, 2024-09-19 20:00:00, 12600s (~3.5 hours)
2024-09-19, "Thursday", "night", 2024-09-19 20:00:00, 2024-09-20 08:00:00, 43200s (~12 hours)
2024-09-20, "Friday", "short", 2024-09-20 16:30:00, 2024-09-20 20:00:00, 12600s (~3.5 hours)
2024-09-20, "Friday", "night", 2024-09-20 20:00:00, 2024-09-21 08:00:00, 43200s (~12 hours)
2024-09-21, "Saturday", "day", 2024-09-21 08:00:00, 2024-09-21 20:00:00, 43200s (~12 hours)
2024-09-21, "Saturday", "night", 2024-09-21 20:00:00, 2024-09-22 08:00:00, 43200s (~12 hours)
2024-09-22, "Sunday", "day", 2024-09-22 08:00:00, 2024-09-22 20:00:00, 43200s (~12 hours)
2024-09-22, "Sunday", "night", 2024-09-22 20:00:00, 2024-09-23 08:00:00, 43200s (~12 hours)
2024-09-23, "Monday", "short", 2024-09-23 16:30:00, 2024-09-23 20:00:00, 12600s (~3.5 hours)
2024-09-23, "Monday", "night", 2024-09-23 20:00:00, 2024-09-24 08:00:00, 43200s (~12 hours)
2024-09-24, "Tuesday", "short", 2024-09-24 16:30:00, 2024-09-24 20:00:00, 12600s (~3.5 hours)
2024-09-24, "Tuesday", "night", 2024-09-24 20:00:00, 2024-09-25 08:00:00, 43200s (~12 hours)
2024-09-25, "Wednesday", "short", 2024-09-25 16:30:00, 2024-09-25 20:00:00, 12600s (~3.5 hours)
2024-09-25, "Wednesday", "night", 2024-09-25 20:00:00, 2024-09-26 08:00:00, 43200s (~12 hours)
2024-09-26, "Thursday", "short", 2024-09-26 16:30:00, 2024-09-26 20:00:00, 12600s (~3.5 hours)
2024-09-26, "Thursday", "night", 2024-09-26 20:00:00, 2024-09-27 08:00:00, 43200s (~12 hours)
2024-09-27, "Friday", "short", 2024-09-27 16:30:00, 2024-09-27 20:00:00, 12600s (~3.5 hours)
2024-09-27, "Friday", "night", 2024-09-27 20:00:00, 2024-09-28 08:00:00, 43200s (~12 hours)
2024-09-28, "Saturday", "day", 2024-09-28 08:00:00, 2024-09-28 20:00:00, 43200s (~12 hours)
2024-09-28, "Saturday", "night", 2024-09-28 20:00:00, 2024-09-29 08:00:00, 43200s (~12 hours)
2024-09-29, "Sunday", "day", 2024-09-29 08:00:00, 2024-09-29 20:00:00, 43200s (~12 hours)
2024-09-29, "Sunday", "night", 2024-09-29 20:00:00, 2024-09-30 08:00:00, 43200s (~12 hours)
2024-09-30, "Monday", "short", 2024-09-30 16:30:00, 2024-09-30 20:00:00, 12600s (~3.5 hours)
